"","Gene_ID","exons.x","genes.x","introns.x","exons.y","genes.y","introns.y"
"1567","ENSMUSG00000084178",3,0,0,NA,NA,NA
"1568","ENSMUSG00000001768",705,0,0,0,796,0
"1569","ENSMUSG00000092758",2,0,0,NA,NA,NA
"1570","ENSMUSG00000083014",1,0,0,0,1,0
"1571","ENSMUSG00000002728",745,0,0,0,920,0
"1572","ENSMUSG00000001767",426,0,0,0,457,0
"1573","ENSMUSG00000037143",78,0,0,0,165,0
"1574","ENSMUSG00000068154",155,0,0,0,155,0
"1575","ENSMUSG00000037110",786,0,0,0,1554,0
"1576","ENSMUSG00000085958",11,0,0,NA,NA,NA
"1577","ENSMUSG00000042938",156,0,0,NA,NA,NA
"1578","ENSMUSG00000080870",2,0,0,0,2,0
"1579","ENSMUSG00000087618",4,0,0,0,40,0
"1580","ENSMUSG00000074749",277,0,0,0,458,0
"1581","ENSMUSG00000027433",1198,0,0,0,1732,0
"1582","ENSMUSG00000027434",51,0,0,0,30,0
"1583","ENSMUSG00000086509",18,0,0,0,98,0
"1584","ENSMUSG00000053545",8,0,0,NA,NA,NA
"1585","ENSMUSG00000084371",10,0,0,NA,NA,NA
"1586","ENSMUSG00000080844",1,0,0,0,1,0
"1587","ENSMUSG00000037014",136,0,0,0,136,0
"1588","ENSMUSG00000074743",92,0,0,0,92,0
"1589","ENSMUSG00000027435",135,0,0,0,135,0
"1590","ENSMUSG00000087678",2,0,0,0,2,0
"1591","ENSMUSG00000036992",83,0,0,0,100,0
"1592","ENSMUSG00000027439",895,0,0,0,988,0
"1593","ENSMUSG00000027438",8060,0,0,0,8213,0
"1594","ENSMUSG00000055177",1,0,0,0,3,0
"1595","ENSMUSG00000036958",1,0,0,0,1,0
"1596","ENSMUSG00000027447",12329,0,0,0,12390,0
"1597","ENSMUSG00000081494",4,0,0,0,4,0
"1598","ENSMUSG00000087029",2,0,0,0,9,0
"1599","ENSMUSG00000074737",10,0,0,0,4,0
"1600","ENSMUSG00000074736",743,0,0,0,1109,0
"1601","ENSMUSG00000083055",2,0,0,0,2,0
"1602","ENSMUSG00000068134",386,0,0,0,408,0
"1603","ENSMUSG00000079009",1,0,0,0,1,0
"1604","ENSMUSG00000060336",158,0,0,0,169,0
"1605","ENSMUSG00000074735",24,0,0,0,24,0
"1606","ENSMUSG00000079008",1,0,0,0,5,0
"1607","ENSMUSG00000084320",3,0,0,0,3,0
"1608","ENSMUSG00000063364",70,0,0,0,5,0
"1609","ENSMUSG00000095315",76,0,0,NA,NA,NA
"1610","ENSMUSG00000083077",1,0,0,0,1,0
"1611","ENSMUSG00000083964",15,0,0,0,15,0
"1612","ENSMUSG00000068130",122,0,0,0,142,0
"1613","ENSMUSG00000082740",2,0,0,0,2,0
"1614","ENSMUSG00000074731",2,0,0,0,4,0
"1615","ENSMUSG00000083325",204,0,0,0,204,0
"1616","ENSMUSG00000068129",4,0,0,0,18,0
"1617","ENSMUSG00000033096",860,0,0,0,896,0
"1618","ENSMUSG00000086407",2,0,0,NA,NA,NA
"1619","ENSMUSG00000027452",580,0,0,0,792,0
"1620","ENSMUSG00000087406",5,0,0,0,2,0
"1621","ENSMUSG00000086563",3,0,0,0,3,0
"1622","ENSMUSG00000033068",1072,0,0,0,1157,0
"1623","ENSMUSG00000033059",3651,0,0,0,3862,0
"1624","ENSMUSG00000032046",3914,0,0,0,4256,0
"1625","ENSMUSG00000027454",17,0,0,0,24,0
"1626","ENSMUSG00000068115",119,0,0,0,207,0
"1627","ENSMUSG00000084264",1,0,0,NA,NA,NA
"1628","ENSMUSG00000053916",244,0,0,NA,NA,NA
"1629","ENSMUSG00000067352",4,0,0,0,17,0
"1630","ENSMUSG00000083391",3,0,0,0,2,0
"1631","ENSMUSG00000082809",1876,0,0,0,1876,0
"1632","ENSMUSG00000027455",1390,0,0,0,1568,0
"1633","ENSMUSG00000087433",5,0,0,0,5,0
"1634","ENSMUSG00000032966",9771,0,0,0,10597,0
"1635","ENSMUSG00000027456",59,0,0,0,124,0
"1636","ENSMUSG00000027457",4980,0,0,0,6358,0
"1637","ENSMUSG00000074704",13,0,0,0,18,0
"1638","ENSMUSG00000087035",11,0,0,0,18,0
"1639","ENSMUSG00000081777",2,0,0,0,2,0
"1640","ENSMUSG00000044364",71,0,0,0,149,0
"1641","ENSMUSG00000032869",506,0,0,0,591,0
